Soil No;%;%;%;;;%;mm;;`%;g/cm3;g/cm3;cm/hr;cm3/cm3;cm3/cm3;cm3/cm3;cm3/cm3;cm3/cm3;%;mm;mm;dS/m;;%;%;Cmole/kg;;mm;;%;;;;mm/h;%;;Yes/no;Yes/no;
Code;Clay;Silt;Sand;Texture Class;TextureCode;Gravel;dg;Sg;OC;Db;Dp;Ksat;WC_s;WC_i;FC;PWP;WC_r;WAS;MWD;GMD;EC;pH;Gypsum;CCE;CEC;SAR;DiscRedius;Instrument;Vegetation cover;Landuse (reported by data owners);Landuse (classifed);Landuse_Code;Rainfal intensity;Slope;Treatment;Crust;Sand contact layer;
3574;12,392;23,538;64,070;SANDY LOAM;3;;0,183;11,967;3,142;1,352;;0,003;0,431;0,008;;;;;;;3,093;;;;;;50,000;5;;Shrubland;Shrub;6;;;;;Applied;
3575;5,256;15,734;79,010;LOAMY SAND;2;;0,399;6,956;1,787;1,385;;0,002;0,434;0,012;;;;;;;0,099;;;;;;50,000;5;;Shrubland;Shrub;6;;;;;Applied;
3576;14,029;40,751;45,220;LOAM;6;;0,087;11,925;2,695;1,455;;0,002;0,489;0,027;;;;;;;6,606;;;;;;50,000;5;;Shrubland;Shrub;6;;;;;Applied;
3577;10,909;27,321;61,770;SANDY LOAM;3;;0,176;11,192;2,494;1,568;;0,002;0,439;0,017;;;;;;;0,186;;;;;;50,000;5;;Corn_crop;Agriculture;1;;;;;Applied;
3578;10,384;26,566;63,050;SANDY LOAM;3;;0,188;10,887;2,689;1,529;;0,012;0,490;0,013;;;;;;;0,327;;;;;;50,000;5;;Corn_crop;Agriculture;1;;;;;Applied;
3579;12,021;31,109;56,870;SANDY LOAM;3;;0,142;11,751;3,174;1,594;;0,002;0,430;0,020;;;;;;;0,280;;;;;;50,000;5;;Corn_crop;Agriculture;1;;;;;Applied;
3580;6,214;21,126;72,660;SANDY LOAM;3;;0,307;8,111;1,343;1,394;;0,002;0,460;0,134;;;;;;;0,394;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3581;25,427;47,763;26,810;LOAM;6;;0,030;12,290;1,283;1,503;;0,006;0,424;0,035;;;;;;;2,576;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3582;7,109;26,901;65,990;SANDY LOAM;3;;0,233;9,054;2,483;1,076;;0,008;0,542;0,362;;;;;;;0,176;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3583;15,975;45,665;38,360;LOAM;6;;0,063;11,783;2,043;1,304;;0,079;0,441;0,355;;;;;;;0,293;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3584;15,048;40,102;44,850;LOAM;6;;0,083;12,335;1,679;1,359;;0,012;0,388;0,083;;;;;;;0,827;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3585;11,341;34,179;54,480;SANDY LOAM;3;;0,133;11,335;1,613;1,508;;0,002;0,438;0,053;;;;;;;0,316;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3586;7,851;30,479;61,670;SANDY LOAM;3;;0,194;9,606;2,597;1,575;;0,008;0,417;0,173;;;;;;;0,206;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3587;16,901;46,009;37,090;LOAM;6;;0,059;11,921;2,698;1,199;;0,004;0,499;0,097;;;;;;;0,280;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3588;3,989;22,101;73,910;SANDY LOAM;3;;0,345;6,874;1,119;1,520;;0,011;0,403;0,140;;;;;;;0,166;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3589;2,816;17,014;80,170;LOAMY SAND;2;;0,451;5,615;2,692;1,891;;0,005;0,311;0,157;;;;;;;0,141;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3590;26,076;52,954;20,970;SILTY LOAM;7;;0,024;10,643;1,730;1,365;;0,005;0,505;0,157;;;;;;;0,395;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3591;10,044;36,636;53,320;SANDY LOAM;3;;0,133;10,663;1,317;1,270;;0,007;0,477;0,173;;;;;;;0,186;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3592;15,295;47,785;36,920;LOAM;6;;0,061;11,281;4,956;0,933;;0,010;0,580;0,214;;;;;;;0,808;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3593;15,666;46,424;37,910;LOAM;6;;0,063;11,588;4,144;0,990;;0,005;0,629;0,163;;;;;;;0,220;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3594;15,573;43,517;40,910;LOAM;6;;0,070;12,024;4,632;1,170;;0,011;0,560;0,102;;;;;;;0,919;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3595;19,064;45,496;35,440;LOAM;6;;0,051;12,414;5,968;1,314;;0,031;0,679;0,116;;;;;;;0,523;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3596;20,114;55,356;24,530;SILTY LOAM;7;;0,033;10,184;1,868;1,251;;0,003;0,512;0,250;;;;;;;0,640;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3597;11,403;39,047;49,550;LOAM;6;;0,111;11,116;2,005;1,441;;0,008;0,453;0,090;;;;;;;0,239;;;;;;50,000;5;;Restored_Riparian_Forest;Forest;4;;;;;Applied;
3598;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,780;1,570;;19,877;0,363;;;;;;;;;;;;;;150,000;1;;BARE SOIL;Bare;6;;;;;;
3599;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,780;1,570;;17,006;0,360;;;;;;;;;;;;;;150,000;1;;forage peanuts;Agriculture;1;;;;;;
3600;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,830;1,540;;69,594;0,370;;;;;;;;;;;;;;150,000;1;;SPONTANEOUS VEGETATION;Pasture;3;;;;;;
3601;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,860;1,590;;23,156;0,369;;;;;;;;;;;;;;150,000;1;;BLACK OATS AND VETCH;Agriculture;1;;;;;;
3602;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,880;1,600;;24,640;0,366;;;;;;;;;;;;;;150,000;1;;PENSACOLA GRASS;Grass;2;;;;;;
3603;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,770;1,590;;5,379;0,360;;;;;;;;;;;;;;150,000;1;;BLACK OATS AND RADISH;Agriculture;1;;;;;;
3604;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,690;1,650;;2,438;0,337;;;;;;;;;;;;;;150,000;1;;SPONTANEOUS VEGETATION;Pasture;3;;;;;;
3605;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,650;1,620;;32,561;0,346;;;;;;;;;;;;;;150,000;1;;BLACK OATS AND VETCH;Agriculture;1;;;;;;
3606;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,640;1,650;;10,609;0,350;;;;;;;;;;;;;;150,000;1;;BARE SOIL;Bare;6;;;;;;
3607;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,640;1,610;;15,278;0,342;;;;;;;;;;;;;;150,000;1;;forage peanuts;Agriculture;1;;;;;;
3608;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,780;1,600;;47,455;0,349;;;;;;;;;;;;;;150,000;1;;PENSACOLA GRASS;Grass;2;;;;;;
3609;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,670;1,680;;4,339;0,345;;;;;;;;;;;;;;150,000;1;;PENSACOLA GRASS;Grass;2;;;;;;
3610;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,730;1,650;;27,589;0,369;;;;;;;;;;;;;;150,000;1;;BLACK OATS AND RADISH;Agriculture;1;;;;;;
3611;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,650;1,600;;19,311;0,373;;;;;;;;;;;;;;150,000;1;;SPONTANEOUS VEGETATION;Pasture;3;;;;;;
3612;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,640;1,610;;18,752;0,372;;;;;;;;;;;;;;150,000;1;;BLACK OATS AND VETCH;Agriculture;1;;;;;;
3613;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,690;1,510;;57,185;0,415;;;;;;;;;;;;;;150,000;1;;BARE SOIL;Bare;6;;;;;;
3614;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,610;1,600;;111,392;0,377;;;;;;;;;;;;;;150,000;1;;forage peanuts;Agriculture;1;;;;;;
3615;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,630;1,600;;24,432;0,378;;;;;;;;;;;;;;150,000;1;;BLACK OATS AND VETCH;Agriculture;1;;;;;;
3616;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,740;1,640;;18,260;0,370;;;;;;;;;;;;;;150,000;1;;SPONTANEOUS VEGETATION;Pasture;3;;;;;;
3617;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,660;1,600;;6,935;0,371;;;;;;;;;;;;;;150,000;1;;forage peanuts;Agriculture;1;;;;;;
3618;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,790;1,570;;63,079;0,392;;;;;;;;;;;;;;150,000;1;;BARE SOIL;Bare;6;;;;;;
3619;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,620;1,610;;43,389;0,371;;;;;;;;;;;;;;150,000;1;;BLACK OATS AND RADISH;Agriculture;1;;;;;;
3620;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,690;1,620;;30,632;0,366;;;;;;;;;;;;;;150,000;1;;PENSACOLA GRASS;Grass;2;;;;;;
3621;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,780;1,570;;19,877;0,363;;;;;;;;;;;;;;;3;;BARE SOIL;Bare;6;;;;;;
3622;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,780;1,570;;17,006;0,360;;;;;;;;;;;;;;;3;;forage peanuts;Agriculture;1;;;;;;
3623;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,830;1,540;;69,594;0,370;;;;;;;;;;;;;;;3;;SPONTANEOUS VEGETATION;Pasture;3;;;;;;
3624;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,860;1,590;;23,156;0,369;;;;;;;;;;;;;;;3;;BLACK OATS AND VETCH;Agriculture;1;;;;;;
3625;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,880;1,600;;24,640;0,366;;;;;;;;;;;;;;;3;;PENSACOLA GRASS;Grass;2;;;;;;
3626;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,770;1,590;;5,379;0,360;;;;;;;;;;;;;;;3;;BLACK OATS AND RADISH;Agriculture;1;;;;;;
3627;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,690;1,650;;2,438;0,337;;;;;;;;;;;;;;;3;;SPONTANEOUS VEGETATION;Pasture;3;;;;;;
3628;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,650;1,620;;32,561;0,346;;;;;;;;;;;;;;;3;;BLACK OATS AND VETCH;Agriculture;1;;;;;;
3629;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,640;1,650;;10,609;0,350;;;;;;;;;;;;;;;3;;BARE SOIL;Bare;6;;;;;;
3630;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,640;1,610;;15,278;0,342;;;;;;;;;;;;;;;3;;forage peanuts;Agriculture;1;;;;;;
3631;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,750;1,620;;18,202;0,345;;;;;;;;;;;;;;;3;;BLACK OATS AND RADISH;Agriculture;1;;;;;;
3632;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,670;1,680;;4,339;0,345;;;;;;;;;;;;;;;3;;PENSACOLA GRASS;Grass;2;;;;;;
3633;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,730;1,650;;27,589;0,369;;;;;;;;;;;;;;;3;;BLACK OATS AND RADISH;Agriculture;1;;;;;;
3634;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,650;1,600;;19,311;0,373;;;;;;;;;;;;;;;3;;SPONTANEOUS VEGETATION;Pasture;3;;;;;;
3635;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,640;1,610;;18,752;0,372;;;;;;;;;;;;;;;3;;BLACK OATS AND VETCH;Agriculture;1;;;;;;
3636;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,690;1,510;;57,185;0,415;;;;;;;;;;;;;;;3;;BARE SOIL;Bare;6;;;;;;
3637;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,610;1,600;;111,392;0,377;;;;;;;;;;;;;;;3;;forage peanuts;Agriculture;1;;;;;;
3638;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,630;1,600;;24,432;0,378;;;;;;;;;;;;;;;3;;BLACK OATS AND VETCH;Agriculture;1;;;;;;
3639;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,740;1,640;;18,260;0,370;;;;;;;;;;;;;;;3;;SPONTANEOUS VEGETATION;Pasture;3;;;;;;
3640;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,660;1,600;;6,935;0,371;;;;;;;;;;;;;;;3;;forage peanuts;Agriculture;1;;;;;;
3641;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,790;1,570;;63,079;0,392;;;;;;;;;;;;;;;3;;BARE SOIL;Bare;6;;;;;;
3642;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,620;1,610;;43,389;0,371;;;;;;;;;;;;;;;3;;BLACK OATS AND RADISH;Agriculture;1;;;;;;
3643;11,200;21,900;66,900;SANDY LOAM;3;;0,211;11,206;0,690;1,620;;30,632;0,366;;;;;;;;;;;;;;;3;;PENSACOLA GRASS;Grass;2;;;;;;
3644;69,500;15,800;14,700;CLAY;12;;0,005;12,524;3,000;1,070;;0,020;0,520;0,250;0,390;;;;;;;;;;;;330,000;1;;Forest;Forest;4;;;;;;
3645;80,000;15,000;5,000;CLAY;12;;0,002;6,147;2,500;1,100;;0,000;0,410;0,290;0,330;;;;;;;;;;;;330,000;1;;Pasture;Pasture;3;;;;;;
3646;78,000;9,000;13,000;CLAY;12;;0,003;11,061;4,300;1,000;;0,002;0,590;0,400;0,540;;;;;;;;;;;;330,000;1;;Sucundary Sucession;; ;;;;;;
3647;74,100;9,100;16,600;CLAY;12;;0,004;13,841;4,100;1,100;;0,005;0,560;0,380;0,470;;;;;;;;;;;;330,000;1;;Agroforest System;Afforestation;6;;;;;;
3648;7,000;9,000;84,000;LOAMY SAND;2;;0,453;7,230;0,550;;;0,534;;;;;;;;;3,500;;;23,500;;;50,000;1;;agriculture;Agriculture;1;;;;;;
3649;35,000;38,000;27,000;CLAY LOAM;9;;0,022;15,014;0,780;;;0,661;;;;;;;;;2,200;;0,000;24,000;;;50,000;1;;agriculture;Agriculture;1;;;;;;
3650;25,000;40,000;35,000;LOAM;6;;0,042;14,516;0,200;;;1,218;;;;;;;;;1,700;;;21,000;;;50,000;1;;agriculture;Agriculture;1;;;;;;
3651;14,000;32,000;54,000;SANDY LOAM;3;;0,120;12,655;0,600;;;1,036;;;;;;;;;1,900;;;17,000;;;50,000;1;;agriculture;Agriculture;1;;;;;;
3652;32,000;48,000;20,000;SILTY CLAY LOAM;10;;0,019;11,588;0,860;;;0,816;;;;;;;;;2,200;;;18,000;;;50,000;1;;agriculture;Agriculture;1;;;;;;
3653;34,000;42,000;24,000;CLAY LOAM;9;;0,021;13,563;0,780;;;1,892;;;;;;;;;18,400;;21,500;;;;50,000;1;;agriculture;Agriculture;1;;;;;;
3654;21,000;45,000;34,000;LOAM;6;;0,046;12,801;0,410;;;3,070;;;;;;;;;3,000;;19,000;;;;50,000;1;;agriculture;Agriculture;1;;;;;;
3655;30,000;33,000;37,000;CLAY LOAM;9;;0,038;17,020;0,550;;;0,124;;;;;;;;;3,600;;20,000;;;;50,000;1;;agriculture;Agriculture;1;;;;;;
3656;14,000;57,000;29,000;SILTY LOAM;7;;0,048;9,419;0,470;;;3,570;;;;;;;;;4,900;;20,000;;;;50,000;1;;agriculture;Agriculture;1;;;;;;
3657;33,000;43,000;24,000;CLAY LOAM;9;;0,021;13,324;0,640;;;0,307;;;;;;;;;16,300;;17,000;;;;50,000;1;;agriculture;Agriculture;1;;;;;;
3658;;;;;;; ; ;;1,250;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3659;;;;;;; ; ;;;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3660;;;;;;; ; ;;;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3661;;;;;;; ; ;;;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3662;;;;;;; ; ;;;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3663;;;;;;; ; ;;1,390;;;0,510;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3664;;;;;;; ; ;;1,720;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3665;;;;;;; ; ;;1,480;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3666;;;;;;; ; ;;1,630;;;0,360;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3667;;;;;;; ; ;;1,600;;;0,440;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3668;;;;;;; ; ;;1,510;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3669;;;;;;; ; ;;1,660;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3670;;;;;;; ; ;;1,580;;;0,420;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3671;;;;;;; ; ;;1,730;;;0,360;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3672;;;;;;; ; ;;1,510;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3673;;;;;;; ; ;;;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3674;;;;;;; ; ;;;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3675;;;;;;; ; ;;1,500;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3676;;;;;;; ; ;;1,850;;;0,360;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3677;;;;;;; ; ;;1,850;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3678;;;;;;; ; ;;;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3679;;;;;;; ; ;;1,490;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3680;;;;;;; ; ;;1,500;;;;;;;;;;;;;;;;;300,000;1;;;; ;;;;;;
3681;8,107;1,761;90,132;SAND;1;;0,548;6,918;0,464;;;;;;;;;;;;;;;2,280;;;50,000;5;;grass;Grass;2;;;;;;
3682;8,107;1,761;90,132;SAND;1;;0,548;6,918;0,464;;;;;;;;;;;;;;;2,280;;;50,000;5;;grass;Grass;2;;;;;;
3683;8,107;1,761;90,132;SAND;1;;0,548;6,918;0,464;;;;;;;;;;;;;;;2,280;;;50,000;5;;grass;Grass;2;;;;;;
3684;7,091;3,873;89,036;SAND;1;;0,544;6,544;0,491;;;;;;;;;;;;;;;1,830;;;50,000;5;;shrub;Shrub;6;;;;;;
3685;7,091;3,873;89,036;SAND;1;;0,544;6,544;0,491;;;;;;;;;;;;;;;1,830;;;50,000;5;;shrub;Shrub;6;;;;;;
3686;7,091;3,873;89,036;SAND;1;;0,544;6,544;0,491;;;;;;;;;;;;;;;1,830;;;50,000;5;;shrub;Shrub;6;;;;;;
3687;7,091;3,792;89,117;SAND;1;;0,545;6,532;0,901;;;;;;;;;;;;;;;1,960;;;50,000;5;;grass;Grass;2;;;;;;
3688;7,091;3,792;89,117;SAND;1;;0,545;6,532;0,901;;;;;;;;;;;;;;;1,960;;;50,000;5;;grass;Grass;2;;;;;;
3689;7,091;3,792;89,117;SAND;1;;0,545;6,532;0,901;;;;;;;;;;;;;;;1,960;;;50,000;5;;grass;Grass;2;;;;;;
3690;16,228;16,695;67,076;SANDY LOAM;3;;0,180;14,177;1,598;;;;;;;;;;;;;;;2,340;;;50,000;5;;shrub;Shrub;6;;;;;;
3691;16,228;16,695;67,076;SANDY LOAM;3;;0,180;14,177;1,598;;;;;;;;;;;;;;;2,340;;;50,000;5;;shrub;Shrub;6;;;;;;
3692;16,228;16,695;67,076;SANDY LOAM;3;;0,180;14,177;1,598;;;;;;;;;;;;;;;2,340;;;50,000;5;;shrub;Shrub;6;;;;;;
3693;8,107;10,736;81,157;LOAMY SAND;2;;0,394;8,206;2,702;;;;;;;;;;;;;;;2,030;;;50,000;5;;grass;Grass;2;;;;;;
3694;8,107;10,736;81,157;LOAMY SAND;2;;0,394;8,206;2,702;;;;;;;;;;;;;;;2,030;;;50,000;5;;grass;Grass;2;;;;;;
3695;8,107;10,736;81,157;LOAMY SAND;2;;0,394;8,206;2,702;;;;;;;;;;;;;;;2,030;;;50,000;5;;grass;Grass;2;;;;;;
3696;9,122;9,690;81,188;LOAMY SAND;2;;0,381;8,771;2,029;;;;;;;;;;;;;;;2,220;;;50,000;5;;shrub;Shrub;6;;;;;;
3697;9,122;9,690;81,188;LOAMY SAND;2;;0,381;8,771;2,029;;;;;;;;;;;;;;;2,220;;;50,000;5;;shrub;Shrub;6;;;;;;
3698;9,122;9,690;81,188;LOAMY SAND;2;;0,381;8,771;2,029;;;;;;;;;;;;;;;2,220;;;50,000;5;;shrub;Shrub;6;;;;;;
3699;15,213;10,635;74,152;SANDY LOAM;3;;0,242;13,201;2,949;;;;;;;;;;;;;;;2,040;;;50,000;5;;grass;Grass;2;;;;;;
3700;15,213;10,635;74,152;SANDY LOAM;3;;0,242;13,201;2,949;;;;;;;;;;;;;;;2,040;;;50,000;5;;grass;Grass;2;;;;;;
3701;15,213;10,635;74,152;SANDY LOAM;3;;0,242;13,201;2,949;;;;;;;;;;;;;;;2,040;;;50,000;5;;grass;Grass;2;;;;;;
3702;7,091;10,706;82,203;LOAMY SAND;2;;0,423;7,519;1,226;;;;;;;;;;;;;;;2,090;;;50,000;5;;shrub;Shrub;6;;;;;;
3703;7,091;10,706;82,203;LOAMY SAND;2;;0,423;7,519;1,226;;;;;;;;;;;;;;;2,090;;;50,000;5;;shrub;Shrub;6;;;;;;
3704;7,091;10,706;82,203;LOAMY SAND;2;;0,423;7,519;1,226;;;;;;;;;;;;;;;2,090;;;50,000;5;;shrub;Shrub;6;;;;;;
3705;18,407;44,727;36,867;LOAM;6;;0,055;12,456;0,273;1,426;;;;;;;;;;;;4,700;;;12,750;;105,000;2;;Bare;Bare;6;;;;;;
3706;18,407;44,727;36,867;LOAM;6;;0,055;12,456;0,273;1,426;;;;0,253;;;;;;;;4,700;;;12,750;;105,000;2;;Bare;Bare;6;;;;;;
3707;18,407;44,727;36,867;LOAM;6;;0,055;12,456;0,273;1,426;;;;0,244;;;;;;;;4,700;;;12,750;;105,000;2;;Bare;Bare;6;;;;;;
3708;18,729;10,343;70,929;SANDY LOAM;3;;0,191;15,693;0,264;1,496;;;;0,116;;;;;;;;4,667;;;3,000;;105,000;2;;Forest;Forest;4;;;;;;
3709;18,729;10,343;70,929;SANDY LOAM;3;;0,191;15,693;0,264;1,496;;;;0,246;;;;;;;;4,667;;;3,000;;105,000;2;;Forest;Forest;4;;;;;;
3710;55,500;18,500;26,000;CLAY;12;;0,011;19,014;1,401;;;;;;;;;;;;;5,900;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3711;55,500;18,500;26,000;CLAY;12;;0,011;19,014;1,401;;;;;;;;;;;;;5,900;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3712;55,500;18,500;26,000;CLAY;12;;0,011;19,014;1,401;;;;;;;;;;;;;5,900;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3713;57,500;17,500;25,000;CLAY;12;;0,010;18,671;1,231;;;;;;;;;;;;;6,150;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3714;57,500;17,500;25,000;CLAY;12;;0,010;18,671;1,231;;;;;;;;;;;;;6,150;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3715;57,500;17,500;25,000;CLAY;12;;0,010;18,671;1,231;;;;;;;;;;;;;6,150;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3716;49,500;17,500;33,000;CLAY;12;;0,017;21,983;1,734;;;;;;;;;;;;;5,850;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3717;49,500;17,500;33,000;CLAY;12;;0,017;21,983;1,734;;;;;;;;;;;;;5,850;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3718;49,500;17,500;33,000;CLAY;12;;0,017;21,983;1,734;;;;;;;;;;;;;5,850;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3719;54,000;22,000;24,000;CLAY;12;;0,011;17,531;1,332;;;;;;;;;;;;;6,000;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3720;54,000;22,000;24,000;CLAY;12;;0,011;17,531;1,332;;;;;;;;;;;;;6,000;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3721;54,000;22,000;24,000;CLAY;12;;0,011;17,531;1,332;;;;;;;;;;;;;6,000;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3722;56,000;17,000;27,000;CLAY;12;;0,011;19,742;1,866;;;;;;;;;;;;;5,900;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3723;56,000;17,000;27,000;CLAY;12;;0,011;19,742;1,866;;;;;;;;;;;;;5,900;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3724;56,000;17,000;27,000;CLAY;12;;0,011;19,742;1,866;;;;;;;;;;;;;5,900;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3725;49,500;23,500;27,000;CLAY;12;;0,014;18,504;1,464;;;;;;;;;;;;;6,150;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3726;49,500;23,500;27,000;CLAY;12;;0,014;18,504;1,464;;;;;;;;;;;;;6,150;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3727;49,500;23,500;27,000;CLAY;12;;0,014;18,504;1,464;;;;;;;;;;;;;6,150;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3728;47,000;24,000;29,000;CLAY;12;;0,016;19,057;1,056;;;;;;;;;;;;;6,050;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3729;47,000;24,000;29,000;CLAY;12;;0,016;19,057;1,056;;;;;;;;;;;;;6,050;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3730;47,000;24,000;29,000;CLAY;12;;0,016;19,057;1,056;;;;;;;;;;;;;6,050;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3731;46,000;25,000;29,000;CLAY;12;;0,017;18,810;1,579;;;;;;;;;;;;;5,900;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3732;46,000;25,000;29,000;CLAY;12;;0,017;18,810;1,579;;;;;;;;;;;;;5,900;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
3733;46,000;25,000;29,000;CLAY;12;;0,017;18,810;1,579;;;;;;;;;;;;;5,900;;;;;200,000;1;;Agriculture;Agriculture;1;;;;;;
